GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Config Server,com.claimswift.configserver,ConfigServerApplication,5,3,0,0,2,1,1,1,1,1
Config Server,com.claimswift.configserver.filter,CorrelationIdFilter.new HttpServletRequestWrapper() {...},3,45,1,3,1,9,1,5,0,4
Config Server,com.claimswift.configserver.filter,CorrelationIdFilter,3,37,3,1,0,11,2,3,0,3
Config Server,com.claimswift.configserver.config,SecurityConfig,0,75,0,0,0,15,0,6,0,6
